#Network|Station|Latitude|Longitude|Elevation|SiteName|StartTime|EndTime
ES|EXFO2|38.1808|-1.134|215.0|Fortuna (Murcia),Spain|2021-08-24T00:00:00|
ES|EXFRT|27.753793|-18.01098|250.0|Frontera (El Hierro),Spain|2021-08-31T00:00:00|
ES|EXGER|37.11075|-2.542101|732.0|Gergal (Almeria),Spain|2022-12-15T00:00:00|
ES|EXGRA|37.1929|-3.6052|702.0|Granada (Granada),Spain|2016-10-19T00:00:00|
ES|EXGUA|38.095|-0.6584|20.0|Guardamar del Segura (Alicante),Spain|2020-11-12T00:00:00|
ES|EXHUE|37.2732|-6.932|38.0|Huelva (Huelva),Spain|2019-11-06T00:00:00|
ES|EXHUO|37.3988|-1.9469|290.0|Huercal-Overa (Almeria),Spain|2013-10-02T00:00:00|
ES|EXILP|28.66082|-17.912222|347.0|Los Llanos de Aridane - La Palma,Spain|2018-04-06T11:13:06|
ES|EXIO|42.7977|-1.3601|521.0|Aoiz/Agoitz (Navarra/Nafarroa),Spain|2026-03-10T10:00:00|
ES|EXJAC|42.568571|-0.553561|776.0|Jaca (Huesca),Spain|2023-06-27T00:00:00|
ES|EXJIF|36.434508|-5.455502|204.0|Jimena de la Frontera (Cadiz),Spain|2020-07-01T10:17:20|
ES|EXJU|38.4758|-1.3337|520.0|Jumilla (Murcia),Spain|2025-04-15T00:00:00|
ES|EXLO2|37.6553|-1.6883|312.0|Lorca (Murcia),Spain|2011-07-28T00:00:00|
ES|EXLOJ|37.1742|-4.1501|517.0|Loja (Granada),Spain|2003-03-05T00:00:00|
ES|EXLP2|28.148995|-15.42473|3.0|Las Palmas de Gran Canaria (Gran Canaria),Spain|2024-12-18T00:00:00|
ES|EXMA2|36.7009|-4.4484|11.0|Malaga (Malaga),Spain|2021-12-09T00:00:00|
ES|EXMAD|40.409078|-3.688115|653.0|Madrid (Madrid),Spain|2020-02-23T18:17:56|
ES|EXMAZ|37.5953|-1.3053|52.0|Mazarron (Murcia),Spain|2012-10-16T00:00:00|
ES|EXMOR|37.1226|-5.4503|245.0|Lorca (Murcia),Spain|2007-10-05T00:00:00|
ES|EXMRB|36.5151|-4.879|51.0|Marbella (Malaga),Spain|2025-04-25T00:00:00|
ES|EXMTC|36.9905|-6.5403|8.0|Matalascannas - Almonte (Huelva),Spain|2025-09-01T00:00:00|
ES|EXMU|38.0396|-1.4941|315.0|Mula (Murcia),Spain|2024-08-21T00:00:00|
ES|EXNER|36.7557|-3.8756|63.0|Nerja (Malaga),Spain|2017-10-25T00:00:00|
ES|EXOHU|38.0944|-0.9429|25.0|Orihuela (Alicante),Spain|2023-07-12T00:00:00|
ES|EXOLV|36.9333|-5.2512|570.0|Olvera (Cadiz),Spain|2022-01-04T00:00:00|
ES|EXOR|37.3537|-2.2974|490.0|Olula del Rio (Almeria),Spain|2025-05-28T00:00:00|
ES|EXPAL|39.5692|2.643|24.0|Palma de Mallorca (Islas Baleares),Spain|2024-06-25T00:00:00|
ES|EXPDH|37.868|-0.7802|41.0|Pilar de la Horadada (Alicante),Spain|2013-02-14T00:00:00|
ES|EXPTO|37.549|-1.8173|460.0|Puerto Lumbreras (Murcia),Spain|2012-06-21T00:00:00|
ES|EXQUE|42.348421|2.162662|1200.0|Queralbs (Girona),Spain|2019-07-31T09:28:46|
ES|EXRIP|42.2|2.1886|687.0|Ripoll (Girona),Spain|2019-11-20T00:00:00|
